COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX
0.18057,0.2873,0.46347,0.3907,0.71429,0.6,0.42916,0.42343,?,0.55577
0.16296,0.20166,0.32299,0.29329,0.5,0.46667,0.38304,?,0.35669,0.6891
0.08977,?,0.35853,0.22978,0.35714,0.33333,0.33853,0.25072,0.29937,0.23718
0.15735,0.27817,0.61107,0.41522,0.71429,0.6,0.55366,0.46353,?,0.46795
0.42123,0.15814,0.42204,0.36659,?,0.6,0.29822,0.22957,0.26769,0.49423
0.34822,0.19587,0.70002,0.43079,0.71429,0.53333,0.58836,0.47421,0.53785,0.55385
0.02864,?,0.51535,0.37746,0.42857,0.4,0.4759,0.42323,0.45313,0.33269
0.39294,0.2334,0.58602,0.48018,0.85714,0.73333,0.54159,0.40086,0.47882,0.41795
0.16271,0.20135,0.39505,0.29584,0.78571,0.6,0.445,0.32865,?,0.7391
0.23537,0.29127,0.51761,0.38453,0.57143,0.53333,?,0.42541,0.4664,0.5641
0.34191,0.11807,0.37463,0.35583,0.5,0.4,0.47539,?,0.39016,0.29487
0.1408,?,0.42436,0.31563,?,0.4,0.4302,?,0.40667,0.49487
0.19773,0.20019,?,0.34441,0.5,0.33333,0.45929,0.37808,0.42346,0.29872
0.19009,0.27008,0.34,0.31203,0.57143,0.53333,0.39863,0.37638,0.38954,0.42436
0.17833,0.26481,0.4688,0.31443,0.42857,?,0.46183,0.38417,0.42763,0.425
0.14515,0.19646,0.39105,0.29743,0.64286,?,?,0.34318,0.39696,?
0.30172,0.2987,0.44408,0.37899,0.42857,0.33333,0.43001,0.42878,0.43059,0.44103
?,0.26286,?,0.41389,?,0.53333,0.47654,0.41445,0.44948,0.54551
0.55012,0.29175,0.66193,?,0.64286,0.53333,0.52818,0.52076,?,0.54679
0.05586,0.1728,0.40383,0.17828,0.35714,0.2,0.56813,0.4135,0.4991,?
0.11417,0.20721,0.46471,0.29196,0.71429,0.46667,0.45837,0.36255,0.41587,0.46346
0.24875,0.12763,0.55164,0.24073,0.64286,0.33333,0.49711,?,0.43626,0.35256
0.21121,0.22869,?,0.32256,0.57143,0.26667,0.41625,0.38182,0.40165,0.37885
?,0.19258,0.53173,0.4265,0.64286,0.46667,0.49487,0.41834,0.46127,0.45385
0.1341,0.18491,0.34165,0.20559,0.57143,0.4,0.38603,0.28301,0.34006,0.50705
0.08046,0.24892,0.48571,0.19843,0.35714,0.13333,0.52619,0.39736,0.46881,0.26282
0.33793,0.13529,0.56114,0.36624,?,0.46667,?,0.38992,0.43932,0.38141
0.12173,0.33744,0.48739,?,0.5,0.46667,0.54192,0.40758,0.48207,?
0.13304,0.29635,0.5362,0.31572,0.57143,0.33333,0.53869,?,0.505,0.39103
0.204,0.12622,0.38934,0.2162,0.64286,0.46667,0.44702,0.3093,0.38538,0.38013
0.33303,0.12121,0.5516,0.32325,0.71429,0.66667,0.47869,0.41322,0.45009,?
0.23699,0.17379,?,0.3084,0.5,0.4,0.39829,0.34837,0.37658,0.3141
?,0.23896,0.45241,0.23454,0.57143,0.33333,0.43398,0.34459,0.39435,0.36795
0.11373,0.27142,0.37923,0.32256,0.42857,?,0.44771,0.36542,0.41136,0.37115
0.07649,0.14628,0.44254,0.19285,0.71429,0.4,0.4862,0.3134,0.40866,0.38526
0.0879,0.30215,0.52277,0.41708,0.78571,0.6,0.50818,0.43527,?,0.48269
0.17479,0.25636,0.41649,0.2811,0.5,0.4,0.43287,0.36679,0.40387,0.33526
0.38862,?,0.57314,0.49003,0.71429,0.66667,0.49758,0.38982,0.44974,0.59103
0.03818,0.35439,0.3507,0.28463,0.35714,0.33333,0.37799,0.35203,0.36715,0.47821
0.27835,0.24219,0.46396,?,0.64286,0.53333,0.50372,0.39772,0.45669,0.43013
0.02542,?,0.29533,0.22633,0.57143,0.53333,0.34342,0.2961,0.32274,0.60769
0.04743,0.45309,0.48385,0.49714,?,0.66667,?,0.47583,0.58869,0.54423
0.19347,0.19153,0.35668,0.31352,0.35714,0.4,0.3345,0.3012,0.3202,0.29103
0.19219,0.49548,0.49953,0.41878,0.5,?,0.45638,0.45188,0.45554,0.47628
?,0.2717,0.50218,0.34889,0.57143,?,0.56382,0.45795,0.51701,0.46603
0.14733,0.33044,?,0.36841,0.64286,0.46667,0.45693,0.39902,0.43172,0.50449
0.27308,0.15488,0.4131,0.38719,0.57143,?,0.36147,0.34786,0.35622,0.39487
0.17479,?,0.42542,0.31257,0.5,0.4,0.44701,0.39889,0.42624,0.38269
0.23798,0.2356,0.4173,0.37856,0.57143,0.53333,0.50893,0.39832,0.45982,0.47821
0.22718,0.21085,0.5298,?,?,0.33333,0.4816,0.39449,0.44314,0.33333
0.24727,0.15299,0.57101,0.31293,0.5,0.46667,?,0.39454,0.46501,?
0.15207,0.23,0.56731,0.3194,0.57143,0.46667,0.50378,0.392,0.45412,0.38974
?,0.23585,0.55525,0.43754,0.78571,?,0.49611,?,0.46345,0.45192
0.23399,0.25589,?,?,?,0.46667,?,0.387,0.44727,0.55385
0.1408,0.15682,0.35943,0.26463,0.28571,0.26667,0.42185,0.32442,0.37852,0.31474
0.31157,0.08897,0.54772,0.42957,?,0.33333,0.43672,0.37549,?,?
0.16404,0.2436,0.43856,0.3039,0.5,0.33333,0.48091,0.39312,0.44214,?
0.15156,0.26397,?,0.37689,0.57143,0.46667,0.45577,0.40694,?,0.43526
0.28828,0.27747,0.64317,0.44274,0.64286,0.46667,0.53651,0.46072,0.50336,0.42051
0.22473,0.2266,0.39671,0.31984,0.57143,0.46667,0.43103,0.29833,0.37163,0.46923
0.06884,0.20135,0.38641,0.20378,0.42857,0.26667,0.44004,0.35235,0.4012,0.36026
0.16484,0.27199,0.4715,0.33862,0.42857,?,0.44124,0.39686,0.42216,0.42949
0.25467,0.12121,0.58539,0.30859,0.57143,0.4,0.51069,0.35541,0.44121,0.28782
0.12414,0.29017,0.58325,0.3145,0.64286,0.4,?,?,0.50358,0.40577
0.16421,0.17112,0.44547,0.39954,0.5,0.53333,0.42555,?,0.41431,0.47564
0.02397,0.38556,0.34379,0.28017,0.42857,?,0.38774,0.37648,0.38363,0.40577
0.30937,0.25523,0.53771,0.39043,?,?,0.46122,0.40734,0.43786,0.39679
0.17989,0.1113,0.58544,0.29283,0.64286,0.46667,0.54915,?,?,0.34295
0.12044,0.1578,0.46494,0.39924,0.57143,0.53333,0.4332,0.35782,0.39996,0.41667
0.09695,0.30849,?,0.30055,0.35714,0.4,0.41811,0.39877,0.4104,0.56282
0.12752,0.09863,0.27677,0.14222,0.28571,0.26667,0.47165,0.38242,0.4322,?
?,0.31879,0.39423,0.26765,0.5,0.4,0.41591,0.38684,?,0.38013
